Questions,Animals,Countries,Famous Personalities
Was it a two-sentence description that completely caught the essence of Ulysses S. Grant ?,0,0,1
What did The Legal Tender Act of 1862 establish?,0,1,0
Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,0,0,1
What method is used by Kangaroos to travel?,1,0,0
Is otter a kind of mammal?,1,0,0
How many years after Cleveland left office did the U.S. win the Spanish-American War?,0,1,0
What is the difference between leopards and cheetahs?,1,0,0
Who was President when Wilson finished Congressional Government?,0,0,1
What was an Italian savant?,0,1,0
Did Roosevelt receive a Medal of Honor?,0,0,1
When was Liechtenstein's current constitution adopted?,0,1,0
What part of an elephant is very important for temperature regulation?,1,0,0
"Is romania -LRB- , -RRB- a country in southeastern europe?",0,1,0
Does the native pronunciation of Qatar sound like 'cutter'?,1,0,0
Does Indonesia have the world's hightest level of biodiversity?,1,0,0
Did Fillmore run for President a second time?,0,0,1
Did the media contribute 15.6% to Singapore's GDP in 2001?,0,1,0
"Who boasted a sizeable community of 100,000 by 1869?",1,0,0
Is the old ghana 500 miles?,0,1,0
"In addition to Port Royal, where else did Samuel de Champlain establish a settlement?",0,1,1
How much do elephants weight at birth?,1,0,0
Is foie gras often made from ducks?,1,0,0
How old was Lincoln in 1816?,0,0,1
Are turtles ectothermic?,1,0,0
Is Uruguay the smallest soverign nation in South America?,0,1,0
"What do kangaroos use for ""crawl-walking?""",1,0,0
Are certain species of beetles considered pests?,1,0,0
What is the life expectancy for men in Finland?,0,1,0
"Was Millard Fillmore born on January 7, 1800?",0,0,1
Was Ford a member of the House of Representatives?,0,0,1
When did Canada have one of the largest armed forces in the world?,0,1,0
Have penguins an average sense of hearing for birds ?,1,0,0
Was Abraham Lincoln the sixteenth President of the United States?,0,0,1
Was Abraham Lincoln the first President of the United States?,0,0,1
Did France cede nearly all of its colonies in Europe in 1763?,0,1,0
What may be called Volta's Law of the electrochemical series?,0,0,1
Why doesn't Romania have a state religion?  ,0,1,0
What shape are the eggs of the larest species of turtle?,1,0,0
Does Romania share the same language with Moldova?,0,1,0
What led Becquerel to investigate the spontaneous emission of nuclear radiation?,0,0,1
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,0,0,1
Where was Grant born?,0,0,1
What did Ford say about his biological father?,0,0,1
What is a hybrid animal resulting from a union between a leopard and a puma?,1,0,0
What did Coolidge address in 1924?,0,0,1
When did James Monroe graduate from William and Mary?,0,0,1
Are otters very active?,1,0,0
Was Grover Cleveland the twenty-seventh president of the United States?,0,0,1
