Text,Code
"The old barracks and ammunition arsenal now house a museum, which offers an audio-visual presentation about the history of the fort (in English and Spanish on alternate half hours)",0
"If Bill isn't among the best presidents of history, she, on the other hand, is among the best first ladies""",0
What was Roosevelt's justification for supporting desegregation of schools in New York,1
"Each people of common history and language constitutes a nation, and the natural form for the nation’s survival was in a state structure",0
"When Rotcod was a student in junior high school, he wrote a history paper on the career of George W Goethals, the US engineer who masterminded the building of the Panama Canal",0
"""This is how bloody slaughters have started in Russian history, leading in the end to two revolutions and the placing of Russia outside the civilized world for the entire 20 th century,"" the paper said",0
Are otters herbivores,1
"Largo 1° de Dezembro is a 19th-century addition, a park with 10 splendid blue-and-white azulejo benches, each illustrating a pivotal event in the history of Portugal",0
Are Pleurodira known as side-necked turtles,1
"Soon she's writing ""A Short History of the Slut""",0
"Archaeologists are still debating about the exact chronology of certain Egyptian dynasties and individual rulers, however, general agreement exists on the division of history into set phases, giving a name to each",0
A BRIEF HISTORY,0
"For a religious experience and a history lesson with your foodstuffs shopping, visit Caelum (c/ de la Palla, 8), which stocks all kinds of products produced by monasteries around the world (Trappist monk beers, honey, candles, cheese, etc) Downstairs is a cellar/tea room where ancient foundations of 14th-century baths were uncovered and are now on view",0
"Also, much Hollywood history: articles on the feud between Hollywood gossips Louella Parsons and Hedda Hopper, Roman Polanski's statutory rape of a 13-year-old girl, and the shady activities of the now deceased Hollywood fixer/mob lawyer Sidney Korshak",0
"In the realm of culture, no era of Chinese history has surpassed the Tang (T’ang) Dynasty (618–907), during which poetry and art reached a brilliant apex",0
Why the long history of Albanian-Serbian acrimony,0
"Because the department has a history of mobilizing thousands of officers for major events requiring crowd control, its technical radio capability and major incident protocols were more easily adapted to an incident of the magnitude of 9/11",0
Did Fillmore run for President a second time,1
Clinton is one of the more anti-civil-libertarian presidents in modern history,0
"The history of Western architecture is of architects searching for rules, only to bend and break them",0
Did the media contribute 156% to Singapore's GDP in 2001,1
Does a male leopard weigh more than a female leopard,1
Are beetles insects,1
"It leads the visitor through the history of flight, from the Montgolfier Brothers and their balloons to the space race",0
History says otherwise,0
How many species of African elephants have been proposed,1
"Jodie T Allen's article titled ""The Biggest Tax Increase in History"" repeats, without challenging, Susan Molinari's claim that government takes in 40 percent of the GDP in taxes",0
"USAT , the NYT and the WP note that GTE's move is the biggest cash offer in corporate history and that it sets up a fight for MCI between GTE and WorldCom, which two weeks ago made a $30 billion all-stock offer",0
"After all, she knew Clinton's history when she took her job then enabled Clinton's sleaziness anyway",0
Since when has Egypt been a republic,1
"""Thanks to Gielgud and fellow Brits, museum-goers 'from ages 5 to 105' won't be able to attend the 'Hands on History: The British Aristocracy' exhibit, which encouraged attendees to examine life-sized models of past sovereigns and then hypothesize which members of the royal family might have been syphilitic""",0
"13% patients had a history of diagnosis of tuberculosis, and 12% gave a history of previous treatment with antituberculous drugs",0
"Like Spandau in the west, Köpenick has a longer history than Berlin itself, having been a Slav settlement on an island in the Spree in the 9th century",0
